ID, WORD
0,POCHYBY
1,ZVLÁDÁME
2,PUŠEK
3,JIZVY
4,ZAZVOŇ
5,ŽELÍZKA
6,SOUČET
7,FSCX75
8,AKADEMIE
9,ČISTÍM
10,ZANEPRÁZDNĚN
11,VYUŽITÍM
12,CTI
13,PROVDANÁ
14,ODOLÁVAT
15,PŘÍJEZDU
16,RUSSELLE
17,ZAJDETE
18,MUZIKANTI
19,MUŽSTVA
20,VÍRU
21,ŽVANĚNÍ
22,UBOHÉ
23,HOJ
24,DÝKY
25,OPTIME
26,PRÁVA
27,OPAČNÝ
28,UBLÍŽILI
29,AUDIO
30,JELENÍ
31,TÝDNEM
32,ŠATECH
33,DIVOCÍ
34,POTENCIÁLNÍCH
35,IDENTICKÉ
36,SOUDCI
37,NÁSILNOU
38,VYJÍMKOU
39,NEMLUVIL
40,SLANINU
41,VOJÁCI
42,MAURICI
43,BEZPEČNOSTI
44,NEHRÁL
45,NAPROGRAMOVANÝ
46,PARKER
47,ZASTŘELÍ
48,PŘIMĚJE
49,PODÍVANOU
50,WI-FI
51,FIGURKU
52,ZASTIŽENÍ
53,PŘEC
54,VSTUPUJETE
55,POCHÁZELA
56,VĚDĚLY
57,OBČAN
58,VYLETĚL
59,TOMA
60,VÍDAT
61,VYJEDNAVAČ
62,POKYNŮ
63,HILLOVÁ
64,ODLETÍME
65,OBEJMUTÍ
66,FOWLER
67,POKLONU
68,PROÈ
69,TAC
70,SMUTKEM
71,VYSLEDOVAT
72,ONDŘEJ
73,POPULÁRNÍ
74,TĚŽKOSTI
75,ALPHAH00
76,SVOU
77,ŠPEH
78,ÚTOČIL
79,MĚSTSKÁ
80,PRAVOU
81,NĚKTERÝCH
82,DĚLÁNÍM
83,DOE
84,NORMÁLU
85,PŘIZPŮSOBIT
86,DRUHÁKU
87,VARUJI
88,BOLESTÍ
89,PODEPSANÉ
90,HISTORICKÝ
91,USMAŽIT
92,SILÁCH
93,HRUBÝ
94,BOBE
95,VYŘEŠTE
96,TETĚ
97,NEZAČNE
98,VETERÁNY
99,JISTÝ
100,ČISTIL
101,PLOCHY
102,TANČENÍ
103,SMAZALA
104,ŠKOLOU
105,PILULKY
106,KONDOMŮ
107,MANUELA
108,QUINNOVÁ
109,JAMESON
110,VÁŠNIVĚ
111,MURPHYHO
112,NĚMECKÝ
113,OPUŠTĚNÍ
114,NEUMŘEL
115,VÍŘIVKU
116,VIETNAM
117,LVICE
118,UŘÍZLI
119,ROZBORY
120,VYLOŽILA
121,GRIFFINE
122,NEKOUKEJTE
123,ZKOUŠELA
124,ZAKÁZAL
125,NATOČEN
126,TE
127,POŠKODIL
128,TROCHA
129,ASH
130,PŘIVAŽTE
131,PLUS
132,RUSSELL
133,DONAGHY
134,CHUDOBĚ
135,VSTANU
136,HAH
137,BRATRA
138,KLÍČEK
139,VÍCKRÁT
140,SÁRU
141,FSCX70
142,ALEXANDRA
143,NEŘÍKÁ
144,USMÍVÁTE
145,JÍDLEM
146,BLBEČCI
147,ZAPOČNE
148,UHTREDE
149,LÉTO
150,RELATIVNĚ
151,LÍTAL
152,MOTIVACE
153,BRÁŠKA
154,ZÉLANDU
155,NEPŘÁTELÉ
156,NANUK
157,FEELING
158,POTŘEBUJI
159,ČEST
160,SEKERA
161,PROSTOREM
162,POCHOP
163,LOS
164,BABIČKO
165,REGISTR
166,JUAN
167,SEZÓNU
168,VÝZDOBU
169,SON
170,PŘESPŘÍLIŠ
171,BALÍČKU
172,HUNTA
173,KOMPLEXU
174,SPOLÉHÁ
175,CHEMICKÁ
176,FSCY100
177,LHANÍM
178,DÁVAL
179,SMYČKA
180,ZDÁLY
181,SUMY
182,ZASTARALÁ
183,NEZÍSKAL
184,SANDERS
185,NEPŘIJÍMÁ
186,ROPOU
187,CELKOVÉ
188,HROMADNÁ
189,WILLIS
190,DÁVNÁ
191,ŠPIONÁŽ
192,VKROČIT
193,POVEL
194,VYNDALI
195,PÍCHNU
196,JSEM-
197,HASTINGS
198,POZITIVNÍHO
199,ŽÍT
200,DRÁTU
201,EXISTOVALA
202,CHODY
203,ZACVIČIT
